s.no,full_name,gender,date_of_birth,time_of_birth,place_of_birth_city,place_of_birth_lat,place_of_birth_lng,timezone
1,Arun Kumar,MALE,12/05/1994,06:45:00,Chennai,13.0827,80.2707,Asia/Kolkata
2,Divya S,FEMALE,24/08/1996,14:20:00,Madurai,9.9252,78.1198,Asia/Kolkata
3,Vignesh R,MALE,03/11/1992,23:15:00,Coimbatore,11.0168,76.9558,Asia/Kolkata
4,Swathi Natarajan,FEMALE,15/02/1997,08:30:00,Trichy,10.7905,78.7047,Asia/Kolkata
5,Dinesh Karthik,MALE,18/07/1993,12:05:00,Salem,11.6643,78.146,Asia/Kolkata
6,Preethi V,FEMALE,09/09/1995,04:10:00,Chennai,13.0827,80.2707,Asia/Kolkata
7,Prasanna Venkatesh,MALE,21/01/1991,18:50:00,Tirunelveli,8.7139,77.7567,Asia/Kolkata
8,Nithya Ram,FEMALE,30/04/1998,09:45:00,Erode,11.341,77.7172,Asia/Kolkata
9,Ramesh K,MALE,14/10/1990,01:25:00,Vellore,12.9165,79.1325,Asia/Kolkata
10,Kaviya T,FEMALE,05/12/1999,16:35:00,Thanjavur,10.787,79.1378,Asia/Kolkata
11,Balaji M,MALE,27/03/1995,07:15:00,Madurai,9.9252,78.1198,Asia/Kolkata
12,Anitha Krishnan,FEMALE,11/06/1994,21:40:00,Coimbatore,11.0168,76.9558,Asia/Kolkata
13,Sibi Raj,MALE,08/08/1997,05:55:00,Chennai,13.0827,80.2707,Asia/Kolkata
14,Ramya N,FEMALE,22/11/1996,11:10:00,Tiruppur,11.1085,77.3411,Asia/Kolkata
15,Naveen Prakash,MALE,19/02/1993,19:20:00,Salem,11.6643,78.146,Asia/Kolkata
16,Meena S,FEMALE,16/05/1998,02:45:00,Trichy,10.7905,78.7047,Asia/Kolkata
17,Sathish Kumar,MALE,04/09/1991,14:50:00,Chennai,13.0827,80.2707,Asia/Kolkata
18,Saranya R,FEMALE,28/01/1995,08:05:00,Madurai,9.9252,78.1198,Asia/Kolkata
19,Ashok Selvan,MALE,13/12/1994,22:30:00,Coimbatore,11.0168,76.9558,Asia/Kolkata
20,Vidhya L,FEMALE,07/07/1997,13:15:00,Chennai,13.0827,80.2707,Asia/Kolkata
21,Kavin R,MALE,25/04/1996,06:40:00,Tirunelveli,8.7139,77.7567,Asia/Kolkata
22,Aishwarya Raj,FEMALE,19/08/1993,17:25:00,Erode,11.341,77.7172,Asia/Kolkata
23,Manoj K,MALE,02/10/1992,03:55:00,Vellore,12.9165,79.1325,Asia/Kolkata
24,Pooja V,FEMALE,14/03/1999,09:10:00,Salem,11.6643,78.146,Asia/Kolkata
25,Hariharan S,MALE,29/06/1990,15:45:00,Trichy,10.7905,78.7047,Asia/Kolkata
26,Shalini M,FEMALE,10/11/1995,20:05:00,Chennai,13.0827,80.2707,Asia/Kolkata
27,Gautham M,MALE,17/02/1998,04:30:00,Madurai,9.9252,78.1198,Asia/Kolkata
28,Kavitha G,FEMALE,23/05/1994,10:20:00,Coimbatore,11.0168,76.9558,Asia/Kolkata
29,Karthikeyan B,MALE,06/01/1997,12:50:00,Thanjavur,10.787,79.1378,Asia/Kolkata
30,Nandhini P,FEMALE,31/12/1996,23:45:00,Chennai,13.0827,80.2707,Asia/Kolkata
